run_id,run_name,group,method,target,seed,step,metric,value
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,60000,kl_ite,0.2050566076422252
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,65000,kl_ite,0.18508697659082204
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,70000,kl_ite,0.1597364432002472
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,75000,kl_ite,0.14204992509354677
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,80000,kl_ite,0.14129890156348718
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,85000,kl_ite,0.16187320955303486
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,90000,kl_ite,0.14120310314363763
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,95000,kl_ite,0.15503551929050058
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,100000,kl_ite,0.1359412924266389
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,5000,w2,0.8496524095535278
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,10000,w2,0.8132485747337341
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,15000,w2,0.8490145802497864
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,20000,w2,0.8685340285301208
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,25000,w2,0.829137921333313
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,30000,w2,0.8154488801956177
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,35000,w2,0.8443204760551453
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,40000,w2,0.7848928570747375
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,45000,w2,0.9707977771759033
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,50000,w2,0.8194698691368103
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,55000,w2,0.7818077206611633
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,60000,w2,0.9334317445755005
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,65000,w2,0.8353846669197083
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,70000,w2,0.8747502565383911
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,75000,w2,0.8193633556365967
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,80000,w2,0.8390851616859436
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,85000,w2,0.885672926902771
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,90000,w2,0.8021548390388489
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,95000,w2,0.8852198719978333
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,100000,w2,0.8263438940048218
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,5000,elbo,-338.6655578613281
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,10000,elbo,-659.7408447265625
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,15000,elbo,-236.96519470214844
dbtzm71m,KDVI-banana-seed7,KDVI-banana,KDVI,banana,7,20000,elbo,-300.9187316894531
