run_id,run_name,group,method,target,seed,metric,value
vs1j9qyr,KDVI-8_gaussians_small-seed42,KDVI-8_gaussians_small,KDVI,8_gaussians_small,42,elbo,-18.310998916625977
0txmtv98,KDVI-8_gaussians_small-seed43,KDVI-8_gaussians_small,KDVI,8_gaussians_small,43,kl_ite,2.9718423194546832
0txmtv98,KDVI-8_gaussians_small-seed43,KDVI-8_gaussians_small,KDVI,8_gaussians_small,43,w2,0.3106464743614197
0txmtv98,KDVI-8_gaussians_small-seed43,KDVI-8_gaussians_small,KDVI,8_gaussians_small,43,elbo,-18.701597213745117
xu2pibx1,DSIVI-8_gaussians_small-seed0,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,0,kl_ite,0.41828288196437063
xu2pibx1,DSIVI-8_gaussians_small-seed0,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,0,w2,0.21894873678684235
xu2pibx1,DSIVI-8_gaussians_small-seed0,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,0,elbo,-0.6480047106742859
bfme87sd,DSIVI-8_gaussians_small-seed1,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,1,kl_ite,0.5375828170182292
bfme87sd,DSIVI-8_gaussians_small-seed1,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,1,w2,0.27151209115982056
bfme87sd,DSIVI-8_gaussians_small-seed1,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,1,elbo,-0.7160130143165588
qnwcv05h,DSIVI-8_gaussians_small-seed7,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,7,kl_ite,0.7887497419850685
qnwcv05h,DSIVI-8_gaussians_small-seed7,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,7,w2,0.2998814582824707
qnwcv05h,DSIVI-8_gaussians_small-seed7,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,7,elbo,-0.9309667944908142
ybivjdaa,DSIVI-8_gaussians_small-seed42,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,42,kl_ite,0.5267473520328748
ybivjdaa,DSIVI-8_gaussians_small-seed42,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,42,w2,0.2016970068216324
ybivjdaa,DSIVI-8_gaussians_small-seed42,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,42,elbo,-0.7193938493728638
pp5ousbn,DSIVI-8_gaussians_small-seed43,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,43,kl_ite,1.0258314665241692
pp5ousbn,DSIVI-8_gaussians_small-seed43,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,43,w2,0.2244323194026947
pp5ousbn,DSIVI-8_gaussians_small-seed43,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,43,elbo,-1.1841833591461182
mljr92tr,KDVI-student_uc-seed7,KDVI-student_uc,KDVI,student_uc,7,kl_ite,6.7923951493892565
bzl3lcbb,DSIVI-student_uc-seed0,DSIVI-student_uc,DSIVI,student_uc,0,kl_ite,0.015228966379993991
bzl3lcbb,DSIVI-student_uc-seed0,DSIVI-student_uc,DSIVI,student_uc,0,w2,0.5514199733734131
bzl3lcbb,DSIVI-student_uc-seed0,DSIVI-student_uc,DSIVI,student_uc,0,elbo,-2.6851730346679688
5ffzngw4,DSIVI-student_uc-seed1,DSIVI-student_uc,DSIVI,student_uc,1,kl_ite,-0.00873119101620154
5ffzngw4,DSIVI-student_uc-seed1,DSIVI-student_uc,DSIVI,student_uc,1,w2,0.5569345355033875
5ffzngw4,DSIVI-student_uc-seed1,DSIVI-student_uc,DSIVI,student_uc,1,elbo,-2.6803107261657715
qivg051i,DSIVI-student_uc-seed7,DSIVI-student_uc,DSIVI,student_uc,7,kl_ite,0.005487498964033145
qivg051i,DSIVI-student_uc-seed7,DSIVI-student_uc,DSIVI,student_uc,7,w2,0.5463814735412598
qivg051i,DSIVI-student_uc-seed7,DSIVI-student_uc,DSIVI,student_uc,7,elbo,-2.6844465732574463
js0yinv7,DSIVI-student_uc-seed42,DSIVI-student_uc,DSIVI,student_uc,42,kl_ite,0.014190024893747214
js0yinv7,DSIVI-student_uc-seed42,DSIVI-student_uc,DSIVI,student_uc,42,w2,0.5564087629318237
js0yinv7,DSIVI-student_uc-seed42,DSIVI-student_uc,DSIVI,student_uc,42,elbo,-2.6796159744262695
5k1p5y0n,DSIVI-student_uc-seed43,DSIVI-student_uc,DSIVI,student_uc,43,kl_ite,0.029760813444121195
5k1p5y0n,DSIVI-student_uc-seed43,DSIVI-student_uc,DSIVI,student_uc,43,w2,0.5644798278808594
5k1p5y0n,DSIVI-student_uc-seed43,DSIVI-student_uc,DSIVI,student_uc,43,elbo,-2.6960623264312744
uvir2v1m,KDVI-Langevin_post-seed0,KDVI-Langevin_post,KDVI,Langevin_post,0,w2,7841018544128.0
uvir2v1m,KDVI-Langevin_post-seed0,KDVI-Langevin_post,KDVI,Langevin_post,0,kde_expected_log_marginal,-2337.323974609375
wejcjhod,KDVI-Langevin_post-seed1,KDVI-Langevin_post,KDVI,Langevin_post,1,w2,53326355890176.0
wejcjhod,KDVI-Langevin_post-seed1,KDVI-Langevin_post,KDVI,Langevin_post,1,kde_expected_log_marginal,-2838.283203125
m4t4xzp6,KDVI-Langevin_post-seed7,KDVI-Langevin_post,KDVI,Langevin_post,7,w2,1615486910464.0
m4t4xzp6,KDVI-Langevin_post-seed7,KDVI-Langevin_post,KDVI,Langevin_post,7,kde_expected_log_marginal,-2158.7373046875
z2mgkcgr,KDVI-Langevin_post-seed42,KDVI-Langevin_post,KDVI,Langevin_post,42,kde_expected_log_marginal,-534905.5
altvz9fr,KDVI-Langevin_post-seed43,KDVI-Langevin_post,KDVI,Langevin_post,43,w2,87927115743232.0
altvz9fr,KDVI-Langevin_post-seed43,KDVI-Langevin_post,KDVI,Langevin_post,43,kde_expected_log_marginal,-2255.030517578125
cxgsxj7p,DSIVI-Langevin_post-seed0,DSIVI-Langevin_post,DSIVI,Langevin_post,0,w2,0.008779012598097324
cxgsxj7p,DSIVI-Langevin_post-seed0,DSIVI-Langevin_post,DSIVI,Langevin_post,0,elbo,-196.85354614257812
cxgsxj7p,DSIVI-Langevin_post-seed0,DSIVI-Langevin_post,DSIVI,Langevin_post,0,kde_expected_log_marginal,75.14979553222656
jxkouy9x,DSIVI-Langevin_post-seed1,DSIVI-Langevin_post,DSIVI,Langevin_post,1,w2,0.008835088461637497
jxkouy9x,DSIVI-Langevin_post-seed1,DSIVI-Langevin_post,DSIVI,Langevin_post,1,elbo,-195.24766540527344
jxkouy9x,DSIVI-Langevin_post-seed1,DSIVI-Langevin_post,DSIVI,Langevin_post,1,kde_expected_log_marginal,75.16668701171875
1uld41qw,DSIVI-Langevin_post-seed7,DSIVI-Langevin_post,DSIVI,Langevin_post,7,w2,0.008658485487103462
1uld41qw,DSIVI-Langevin_post-seed7,DSIVI-Langevin_post,DSIVI,Langevin_post,7,elbo,-196.4117126464844
1uld41qw,DSIVI-Langevin_post-seed7,DSIVI-Langevin_post,DSIVI,Langevin_post,7,kde_expected_log_marginal,75.20561981201172
lcb8waym,DSIVI-Langevin_post-seed42,DSIVI-Langevin_post,DSIVI,Langevin_post,42,w2,0.008684703148901463
lcb8waym,DSIVI-Langevin_post-seed42,DSIVI-Langevin_post,DSIVI,Langevin_post,42,elbo,-197.8612518310547
lcb8waym,DSIVI-Langevin_post-seed42,DSIVI-Langevin_post,DSIVI,Langevin_post,42,kde_expected_log_marginal,75.20126342773438
wws5bo6g,DSIVI-Langevin_post-seed43,DSIVI-Langevin_post,DSIVI,Langevin_post,43,w2,0.00905128102749586
wws5bo6g,DSIVI-Langevin_post-seed43,DSIVI-Langevin_post,DSIVI,Langevin_post,43,elbo,-197.5143890380859
wws5bo6g,DSIVI-Langevin_post-seed43,DSIVI-Langevin_post,DSIVI,Langevin_post,43,kde_expected_log_marginal,75.16706848144531
