epoch,method,method_l2_mean,method_l2_sd,method_n_failed,method_n_valid,method_relative_l2_mean,method_relative_l2_sd,method_runtime_sec_mean,method_target_l2_mean,method_target_l2_sd,n_seeds,progress,reference_internal_l2_mean,reference_internal_l2_sd,reference_mean_mcse_l2_mean,reference_mean_mcse_l2_sd,reference_quality_n_pass,reference_quality_n_warning,reference_runtime_sec_mean,reference_target_l2_mean,reference_target_l2_sd,target
6000,DSIVI,0.4071303038652706,0.4713470749451783,0,5,0.083945933287048,0.08440603774039372,0.0007292062044143676,0.1479579492183872,0.06295428442769055,5,0.6,0.6444715167189708,0.6973742244101736,0.03391955351152478,0.03670390654790388,5,0,554.4496379941702,0.3722590840461105,0.4742171543606377,x_shaped
8000,DSIVI,0.30264435388461186,0.3068801029224062,0,5,0.06482550815500199,0.059115119679799426,0.0007697775959968567,0.14204665763766977,0.08553785204494804,5,0.8,0.5769242402760828,0.5284605698412426,0.030364433698741193,0.027813714202170662,5,0,555.6192363157868,0.2464515396519087,0.30152338886009294,x_shaped
10000,DSIVI,0.33115961928717225,0.548394768554296,0,5,0.0653743529551721,0.10042121956053297,0.0007580652832984925,0.07908472907890234,0.03693517101815595,5,1.0,0.6231557694288117,0.6718871681814494,0.03279767207520062,0.03536248253586576,5,0,556.3511775106192,0.3178878129249883,0.5403678626015644,x_shaped
2000,SIVI,0.0428875204939073,0.06573344555168589,0,5,0.033176340555193404,0.05766443521329961,0.16231831759214402,4.479184079860206,2.6528383727781555,5,0.2,0.008701663819834907,0.003571451674102415,0.00045798230630710035,0.0001879711407422324,5,0,526.4237692400814,4.399496359124167,2.5989851586315655,x_shaped
4000,SIVI,0.028119377929182586,0.021848279693942742,0,5,0.008885407041681493,0.007836194595991528,0.03949012458324432,0.5462637487377409,0.6839842876958103,5,0.4,0.018901359370069183,0.0014726136923364087,0.0009948083878983777,7.750598380717942e-05,5,0,530.2950405955314,0.5137227002794382,0.6497254822710892,x_shaped
6000,SIVI,0.04612581824086477,0.06242523690826582,0,5,0.012124298861703095,0.017295727215381022,0.16325699537992477,0.2982623958389553,0.5544002045205136,5,0.6,0.024430436218304718,0.0026735384607698546,0.0012858124325423536,0.00014071255056683448,5,0,542.9135451450944,0.25094049448704026,0.48407930483802003,x_shaped
8000,SIVI,0.034659721965069064,0.040254958858929456,0,5,0.009566004029865375,0.011960704597157416,0.047013077139854434,0.2704715763740124,0.4950985719241371,5,0.8,0.02453558180072234,0.0033397583536124284,0.0012913464105643335,0.00017577675545328567,5,0,564.8830318048597,0.2400598400096568,0.46429920437971395,x_shaped
10000,SIVI,0.026442578643764564,0.01962539984974825,0,5,0.007040867854468914,0.005532966529654089,0.003054012358188629,0.1903273507500825,0.3394951278548007,5,1.0,0.023642019056854473,0.0025882947268063353,0.001244316792466025,0.00013622603825296504,5,0,564.6596619278192,0.16540214289223193,0.3227525852673551,x_shaped
2000,UIVI,1.3262869936162582,0.2989489987003305,0,5,0.8094072759201838,0.18136050014596555,0.2742950662970543,5.0624406402224995,0.5047030188618061,5,0.2,0.011624246559659126,0.002560433873209506,0.000611802450508375,0.00013475967753734242,5,0,562.7756830275059,3.779591461627239,0.4448932455049813,x_shaped
4000,UIVI,2.624197598218582,1.1678991594438917,0,5,0.8728197057074552,0.4258759051263621,0.24620546847581865,3.264980518216123,1.5118718725955873,5,0.4,0.022670760139649058,0.006725033627341043,0.0011931979020867924,0.00035394913828110753,5,0,572.2634397506714,0.5969493643949852,0.32903679510819445,x_shaped
6000,UIVI,2.748603861869495,0.3269074080154335,0,5,0.7559456353353908,0.16059250068992487,0.2781705006957054,3.022933132549807,0.6181196356117576,5,0.6,0.03329214112266837,0.015610142013533229,0.0017522179538246511,0.0008215864217649068,5,0,571.8384493529796,0.26527907970953546,0.32149965906694267,x_shaped
8000,UIVI,2.767740479203126,0.38619820601931193,0,5,0.7659003236643146,0.16243077952098617,0.26415243893861773,3.052291071720476,0.7173301344092134,5,0.8,0.031672642434954566,0.014049861759490665,0.0016669811807870825,0.0007394664083942455,5,0,573.4591283500195,0.29761285752523886,0.32740205190566457,x_shaped
10000,UIVI,2.761501744876378,0.5356297114750156,0,5,0.7857193374955791,0.19268329674872184,0.28274432718753817,3.039571207684091,0.7964918420242024,5,1.0,0.032197175577705794,0.017754413599600925,0.001694588188300305,0.0009344428210316276,5,0,578.5835532620549,0.29404963372514015,0.3704350242447144,x_shaped
