checkpoint_dir,checkpoint_epoch,duration_sec,elbo,elbo_runtime_sec,errors,kde_elm,kde_elm_runtime_sec,method,nll,rmse,rmse_nll_runtime_sec,run_id,seed,summary_iterations,target,training_time_sec,w2,w2_edge_10,w2_edge_10_runtime_sec,w2_edge_5,w2_edge_5_runtime_sec,w2_edge_8,w2_edge_8_runtime_sec,w2_runtime_sec,w2_trunc_abs_6,w2_trunc_abs_6_runtime_sec,w2_trunc_abs_8,w2_trunc_abs_8_runtime_sec,wall_clock_sec
results/default_config_grid/KSIVI/banana/20260428_060743/checkpoints/epoch_50000,50000,340.83404164761305,-0.045969609171152115,1.491209466010332,{},,,KSIVI,,,,seed42_ksivi_banana,42,50000.0,banana,334.6076965332031,0.5390708446502686,,,,,,,0.0336601696908474,,,,,340.83404164761305
results/default_config_grid/KSIVI/Bnn_boston/20260428_060744/checkpoints/epoch_100000,100000,1094.3817332312465,,,{},,,KSIVI,2.491804599761963,2.6394035816192627,0.00688600167632103,seed42_ksivi_bnn_boston,42,100000.0,Bnn_boston,1086.902587890625,,,,,,,,,,,,,1094.3817332312465
results/default_config_grid/KSIVI/Bnn_concrete/20260428_060926/checkpoints/epoch_100000,100000,1035.6046351976693,,,{},,,KSIVI,3.2612242698669434,6.341067314147949,0.008728805929422379,seed42_ksivi_bnn_concrete,42,100000.0,Bnn_concrete,1029.443359375,,,,,,,,,,,,,1035.6046351976693
results/default_config_grid/KSIVI/Bnn_power/20260428_061302/checkpoints/epoch_100000,100000,1072.9552523121238,,,{},,,KSIVI,2.8322644233703613,3.952599287033081,0.00852348655462265,seed42_ksivi_bnn_power,42,100000.0,Bnn_power,1044.4501953125,,,,,,,,,,,,,1072.9552523121238
results/default_config_grid/KSIVI/Bnn_protein/20260428_061324/checkpoints/epoch_100000,100000,1050.832125198096,,,{},,,KSIVI,3.022599220275879,4.975890636444092,0.018311727792024612,seed42_ksivi_bnn_protein,42,100000.0,Bnn_protein,1042.503662109375,,,,,,,,,,,,,1050.832125198096
results/default_config_grid/KSIVI/Bnn_winered/20260501_145741/checkpoints/epoch_100000,100000,1043.6281186714768,,,{},,,KSIVI,0.9188027381896973,0.6059798002243042,0.006387677043676376,seed42_ksivi_bnn_winered,42,100000.0,Bnn_winered,1036.3853759765625,,,,,,,,,,,,,1043.6281186714768
results/default_config_grid/KSIVI/Bnn_yacht/20260501_145741/checkpoints/epoch_100000,100000,1020.5871054418385,,,{},,,KSIVI,1.708348274230957,1.3061246871948242,0.001922324299812317,seed42_ksivi_bnn_yacht,42,100000.0,Bnn_yacht,1012.8951416015625,,,,,,,,,,,,,1020.5871054418385
results/default_config_grid/KSIVI/Langevin_post/20260429_220656/checkpoints/epoch_50000,50000,508.53988256677985,-186.8191680908203,2.4363166242837906,{},70.30783081054688,0.6239697337150574,KSIVI,,,,seed42_ksivi_langevin_post,42,50000.0,Langevin_post,501.7134094238281,0.024794043973088264,,,,,,,0.04480661824345589,,,,,508.53988256677985
results/default_config_grid/KSIVI/multimodal/20260428_063610/checkpoints/epoch_50000,50000,398.68117567896843,-0.012054719030857086,1.5820060931146145,{},,,KSIVI,,,,seed42_ksivi_multimodal,42,50000.0,multimodal,354.0022888183594,0.10008519142866135,,,,,,,0.05841745436191559,,,,,398.68117567896843
results/default_config_grid/KSIVI/student_uc/20260428_063925/checkpoints/epoch_50000,50000,332.350371286273,-15.871914863586426,1.5206076204776764,{},,,KSIVI,,,,seed42_ksivi_student_uc,42,50000.0,student_uc,326.61309814453125,38.25819778442383,7.045857906341553,0.25961532816290855,3.1089251041412354,8.672920931130648,5.498047828674316,0.7187447585165501,0.0333307646214962,,,5.504299640655518,0.7952002473175526,332.350371286273
