target,seed,epoch,z_dim,n_samples,score_p_4th_moment,score_q_4th_moment,score_p_mean_norm,score_q_mean_norm,run_id,duration_sec
Langevin_post,45,10000,100,10240,482496064.0,423261280.0,146.390625,142.02598571777344,seed45_dsivi_langevin_post,0.012
x_shaped,45,1000,2,10240,1567.103759765625,0.9879558682441711,3.784454345703125,0.7356082797050476,seed45_dsivi_x_shaped,0.006
x_shaped,45,2000,2,10240,271.3008728027344,6.7923264503479,2.4796836376190186,1.0764689445495605,seed45_dsivi_x_shaped,0.006
x_shaped,45,3000,2,10240,130.6226348876953,15.717886924743652,2.128121852874756,1.2998838424682617,seed45_dsivi_x_shaped,0.006
x_shaped,45,4000,2,10240,69.39291381835938,33.4697265625,1.8562395572662354,1.599042296409607,seed45_dsivi_x_shaped,0.006
x_shaped,45,5000,2,10240,45.28312301635742,43.825111389160156,1.700413703918457,1.7383222579956055,seed45_dsivi_x_shaped,0.006
x_shaped,45,6000,2,10240,45.90436935424805,50.87062454223633,1.7011626958847046,1.7410916090011597,seed45_dsivi_x_shaped,0.005
x_shaped,45,7000,2,10240,46.270172119140625,45.08579635620117,1.7075092792510986,1.7361057996749878,seed45_dsivi_x_shaped,0.008
x_shaped,45,8000,2,10240,45.05777359008789,42.751502990722656,1.701788306236267,1.7174103260040283,seed45_dsivi_x_shaped,0.006
x_shaped,45,9000,2,10240,46.57710647583008,44.06813430786133,1.7146259546279907,1.7083675861358643,seed45_dsivi_x_shaped,0.006
x_shaped,45,10000,2,10240,43.82819747924805,42.62701416015625,1.6969070434570312,1.6865227222442627,seed45_dsivi_x_shaped,0.006
Langevin_post,46,1000,100,10240,7535924224.0,21107568.0,290.7550048828125,67.09597778320312,seed46_dsivi_langevin_post,0.016
Langevin_post,46,2000,100,10240,2702970880.0,65477836.0,224.9857940673828,89.06048583984375,seed46_dsivi_langevin_post,0.013
Langevin_post,46,3000,100,10240,1351781376.0,134915072.0,189.2478790283203,106.74665832519531,seed46_dsivi_langevin_post,0.012
Langevin_post,46,4000,100,10240,838560576.0,233729200.0,168.01280212402344,122.4573974609375,seed46_dsivi_langevin_post,0.015
Langevin_post,46,5000,100,10240,571638208.0,354895776.0,152.69863891601562,135.9794921875,seed46_dsivi_langevin_post,0.015
