checkpoint_dir,checkpoint_epoch,duration_sec,elbo,elbo_runtime_sec,errors,method,run_id,seed,summary_iterations,target,training_time_sec,variant,w2,w2_runtime_sec,wall_clock_sec,warnings
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_021238/checkpoints/epoch_10000,10000,309.6823783777654,-0.0037155074533075094,2.360483583062887,{},DSIVI,seed44_dsivi_x_shaped_reverse_batch_512,44,10000.0,x_shaped,302.87274169921875,reverse_batch_512,0.055142443627119064,0.03738008067011833,309.6823783777654,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_021748/checkpoints/epoch_10000,10000,303.68865484558046,-0.12151304632425308,2.3612489271909,{},DSIVI,seed44_dsivi_x_shaped_reverse_batch_1024,44,10000.0,x_shaped,296.0901794433594,reverse_batch_1024,0.30435851216316223,0.0362946093082428,303.68865484558046,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_022252/checkpoints/epoch_10000,10000,321.7226241976023,-0.002129088621586561,2.362050933763385,{},DSIVI,seed44_dsivi_x_shaped_reverse_batch_4096,44,10000.0,x_shaped,315.7685852050781,reverse_batch_4096,0.054175302386283875,0.03637215867638588,321.7226241976023,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_022813/checkpoints/epoch_10000,10000,315.6436288077384,-0.007241381332278252,2.3462635595351458,{},DSIVI,seed44_dsivi_x_shaped_reverse_batch_8192,44,10000.0,x_shaped,308.78082275390625,reverse_batch_8192,0.04289235174655914,0.03849470242857933,315.6436288077384,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_023329/checkpoints/epoch_10000,10000,315.9070263430476,-0.006294929422438145,2.3617738112807274,{},DSIVI,seed45_dsivi_x_shaped_baseline,45,10000.0,x_shaped,310.3185729980469,baseline,0.06548772752285004,0.0373492818325758,315.9070263430476,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_023845/checkpoints/epoch_10000,10000,155.26935890316963,-0.016231389716267586,2.3595663476735353,{},DSIVI,seed45_dsivi_x_shaped_reverse_steps_1,45,10000.0,x_shaped,147.6566162109375,reverse_steps_1,0.06491947919130325,0.037732984870672226,155.26935890316963,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_024120/checkpoints/epoch_10000,10000,205.4376223385334,-0.0017470206366851926,2.354636652395129,{},DSIVI,seed45_dsivi_x_shaped_reverse_steps_2,45,10000.0,x_shaped,198.19305419921875,reverse_steps_2,0.04556436091661453,0.036821261048316956,205.4376223385334,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_024446/checkpoints/epoch_10000,10000,504.6002097055316,-0.007136059459298849,2.366276938468218,{},DSIVI,seed45_dsivi_x_shaped_reverse_steps_10,45,10000.0,x_shaped,497.3327331542969,reverse_steps_10,0.053339578211307526,0.03687894530594349,504.6002097055316,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_025310/checkpoints/epoch_10000,10000,307.9490618109703,-0.019573252648115158,2.357078356668353,{},DSIVI,seed45_dsivi_x_shaped_reverse_batch_512,45,10000.0,x_shaped,300.7197570800781,reverse_batch_512,0.10907832533121109,0.03687639720737934,307.9490618109703,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_025818/checkpoints/epoch_10000,10000,303.91319401934743,-0.005924877244979143,2.3555716909468174,{},DSIVI,seed45_dsivi_x_shaped_reverse_batch_1024,45,10000.0,x_shaped,298.6282653808594,reverse_batch_1024,0.06537304073572159,0.036748651415109634,303.91319401934743,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_030322/checkpoints/epoch_10000,10000,319.86999838240445,-0.0033760080114006996,2.3639234248548746,{},DSIVI,seed45_dsivi_x_shaped_reverse_batch_4096,45,10000.0,x_shaped,312.2574157714844,reverse_batch_4096,0.048204682767391205,0.03673381358385086,319.86999838240445,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_030842/checkpoints/epoch_10000,10000,300.12890057452023,-0.03337136656045914,2.35835880599916,{},DSIVI,seed45_dsivi_x_shaped_reverse_batch_8192,45,10000.0,x_shaped,292.692626953125,reverse_batch_8192,0.04226703196763992,0.03693779930472374,300.12890057452023,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_031342/checkpoints/epoch_10000,10000,311.99445932917297,-0.008868764154613018,2.365598291158676,{},DSIVI,seed46_dsivi_x_shaped_baseline,46,10000.0,x_shaped,305.5664367675781,baseline,0.07804474234580994,0.03693372756242752,311.99445932917297,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_031854/checkpoints/epoch_10000,10000,155.2620822954923,-0.052156850695610046,2.2011098582297564,{},DSIVI,seed46_dsivi_x_shaped_reverse_steps_1,46,10000.0,x_shaped,148.69070434570312,reverse_steps_1,0.15126052498817444,0.03706949017941952,155.2620822954923,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_032129/checkpoints/epoch_10000,10000,197.49229681305587,-0.2345275580883026,2.370091201737523,{},DSIVI,seed46_dsivi_x_shaped_reverse_steps_2,46,10000.0,x_shaped,190.64645385742188,reverse_steps_2,0.4526308476924896,0.03741849213838577,197.49229681305587,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_032447/checkpoints/epoch_10000,10000,497.18170824088156,-0.009005210362374783,2.3731938917189837,{},DSIVI,seed46_dsivi_x_shaped_reverse_steps_10,46,10000.0,x_shaped,490.3268127441406,reverse_steps_10,0.11372850090265274,0.03632115758955479,497.18170824088156,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_033304/checkpoints/epoch_10000,10000,326.2825108785182,-0.03358560800552368,2.3730338346213102,{},DSIVI,seed46_dsivi_x_shaped_reverse_batch_512,46,10000.0,x_shaped,318.7436218261719,reverse_batch_512,0.19097068905830383,0.03630789555609226,326.2825108785182,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_033831/checkpoints/epoch_10000,10000,320.32974633947015,-0.007132074795663357,2.375903280451894,{},DSIVI,seed46_dsivi_x_shaped_reverse_batch_1024,46,10000.0,x_shaped,313.8805236816406,reverse_batch_1024,0.07244550436735153,0.03640330396592617,320.32974633947015,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_034351/checkpoints/epoch_10000,10000,302.23968533053994,-0.007607723586261272,2.376630075275898,{},DSIVI,seed46_dsivi_x_shaped_reverse_batch_4096,46,10000.0,x_shaped,295.11846923828125,reverse_batch_4096,0.08333136141300201,0.03643079660832882,302.23968533053994,{}
results/dsivi_reverse_axis_sweep_x_shaped_20260728/DSIVI/x_shaped/20260728_034853/checkpoints/epoch_10000,10000,332.34545798785985,-0.004799962043762207,2.375573467463255,{},DSIVI,seed46_dsivi_x_shaped_reverse_batch_8192,46,10000.0,x_shaped,326.14404296875,reverse_batch_8192,0.07036986202001572,0.03714223578572273,332.34545798785985,{}
