method,target,seed,epoch,batch_size,repetition,latency_ms
UIVI,x_shaped,42,10000,1,86,210.078774
UIVI,x_shaped,42,10000,1,87,208.621945
UIVI,x_shaped,42,10000,1,88,208.665644
UIVI,x_shaped,42,10000,1,89,211.314386
UIVI,x_shaped,42,10000,1,90,207.820845
UIVI,x_shaped,42,10000,1,91,207.520155
UIVI,x_shaped,42,10000,1,92,207.283369
UIVI,x_shaped,42,10000,1,93,208.160626
UIVI,x_shaped,42,10000,1,94,209.945421
UIVI,x_shaped,42,10000,1,95,210.178482
UIVI,x_shaped,42,10000,1,96,213.251932
UIVI,x_shaped,42,10000,1,97,214.761317
UIVI,x_shaped,42,10000,1,98,208.033524
UIVI,x_shaped,42,10000,1,99,181.164921
UIVI,x_shaped,42,10000,1,100,208.574213
UIVI,x_shaped,42,10000,128,1,229.0119
UIVI,x_shaped,42,10000,128,2,231.501847
UIVI,x_shaped,42,10000,128,3,225.422972
UIVI,x_shaped,42,10000,128,4,227.740167
UIVI,x_shaped,42,10000,128,5,228.068355
UIVI,x_shaped,42,10000,128,6,230.623672
UIVI,x_shaped,42,10000,128,7,226.871946
UIVI,x_shaped,42,10000,128,8,218.660387
UIVI,x_shaped,42,10000,128,9,214.653657
UIVI,x_shaped,42,10000,128,10,214.964952
UIVI,x_shaped,42,10000,128,11,213.895623
UIVI,x_shaped,42,10000,128,12,216.41674
UIVI,x_shaped,42,10000,128,13,214.597468
UIVI,x_shaped,42,10000,128,14,216.418853
UIVI,x_shaped,42,10000,128,15,196.655046
UIVI,x_shaped,42,10000,128,16,197.604587
UIVI,x_shaped,42,10000,128,17,136.339297
UIVI,x_shaped,42,10000,128,18,195.805827
UIVI,x_shaped,42,10000,128,19,217.709251
UIVI,x_shaped,42,10000,128,20,221.344662
UIVI,x_shaped,42,10000,128,21,214.017089
UIVI,x_shaped,42,10000,128,22,215.575586
UIVI,x_shaped,42,10000,128,23,213.449279
UIVI,x_shaped,42,10000,128,24,213.748428
UIVI,x_shaped,42,10000,128,25,223.102824
UIVI,x_shaped,42,10000,128,26,206.15971
UIVI,x_shaped,42,10000,128,27,188.961698
UIVI,x_shaped,42,10000,128,28,168.21612
UIVI,x_shaped,42,10000,128,29,223.809382
UIVI,x_shaped,42,10000,128,30,137.622613
UIVI,x_shaped,42,10000,128,31,167.52681
UIVI,x_shaped,42,10000,128,32,203.964757
UIVI,x_shaped,42,10000,128,33,212.660669
UIVI,x_shaped,42,10000,128,34,214.672382
UIVI,x_shaped,42,10000,128,35,215.137491
UIVI,x_shaped,42,10000,128,36,211.526117
UIVI,x_shaped,42,10000,128,37,162.24337
UIVI,x_shaped,42,10000,128,38,118.123867
UIVI,x_shaped,42,10000,128,39,129.972718
UIVI,x_shaped,42,10000,128,40,179.594694
UIVI,x_shaped,42,10000,128,41,205.418254
UIVI,x_shaped,42,10000,128,42,215.877772
UIVI,x_shaped,42,10000,128,43,219.422161
UIVI,x_shaped,42,10000,128,44,213.412588
UIVI,x_shaped,42,10000,128,45,212.813009
UIVI,x_shaped,42,10000,128,46,212.633065
UIVI,x_shaped,42,10000,128,47,212.1626
UIVI,x_shaped,42,10000,128,48,212.524028
UIVI,x_shaped,42,10000,128,49,214.089635
UIVI,x_shaped,42,10000,128,50,213.477186
UIVI,x_shaped,42,10000,128,51,211.252183
UIVI,x_shaped,42,10000,128,52,216.45853
