recipe_id,mcmc_type,step_schedule,nominal_step,k_mode,annealing_steps,seeds_complete,n_seeds,kl_mean,kl_std,w2_mean,w2_std,pareto,status
sgld-coupled-step0p10-k1to20-ann100k,sgld,coupled,0.10,k1to20,100000,"0,1,7",3,0.16068454195423118,0.023538394075362623,0.09503845622142156,0.01529718710818743,False,complete
sgld-coupled-step0p10-k1to20-ann50k,sgld,coupled,0.10,k1to20,50000,"0,1,7",3,0.06891211473753142,0.024424962490859955,0.09340052555004756,0.053626217090590754,False,complete
sgld-coupled-step0p10-k2-ann100k,sgld,coupled,0.10,k2,100000,"0,1,7",3,0.10978435976078521,0.015183178565395118,0.10351043442885081,0.013776493225877552,False,complete
sgld-coupled-step0p10-k2-ann50k,sgld,coupled,0.10,k2,50000,"0,1,7",3,0.07406859691221564,0.0058345427978253065,0.1773077348868052,0.10897246714665994,False,complete
sgld-coupled-step0p10-k5-ann100k,sgld,coupled,0.10,k5,100000,"0,1,7",3,0.15799716838460393,0.006162961902985054,0.10436878353357315,0.029392666150865956,False,complete
sgld-coupled-step0p10-k5-ann50k,sgld,coupled,0.10,k5,50000,"0,1,7",3,0.08961032374483581,0.025340642438053444,0.10480958844224612,0.04686522885224951,False,complete
sgld-coupled-step0p20-k1-ann100k,sgld,coupled,0.20,k1,100000,"0,1,7",3,0.12882724164226672,0.01941134281755003,0.1254607836405436,0.018994423512752594,False,complete
sgld-coupled-step0p20-k1-ann50k,sgld,coupled,0.20,k1,50000,"0,1,7",3,0.078279806245844,0.030277024946678787,0.11086311936378479,0.011664490970172537,False,complete
sgld-coupled-step0p20-k10-ann100k,sgld,coupled,0.20,k10,100000,"0,1,7",3,0.4882457176783153,0.5363932461200681,0.3140871499975522,0.35756718077284155,False,complete
sgld-coupled-step0p20-k10-ann50k,sgld,coupled,0.20,k10,50000,"0,1,7",3,0.06694958505336704,0.015076441894516927,0.09680910656849544,0.020228907076968446,False,complete
