chain,epoch,method,progress,reference_internal_l2,reference_seed,repeat,replication_unit,run_id,runtime_sec,seed,target
9,4000,SIVI,0.4,0.14674662293620305,502056621,9,hmc_chain,seed45_sivi_x_shaped,9.336873196810483,45,x_shaped
0,6000,SIVI,0.6,0.1852264493733704,711190196,0,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
1,6000,SIVI,0.6,0.19244640289154094,711190196,1,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
2,6000,SIVI,0.6,0.16854124365254058,711190196,2,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
3,6000,SIVI,0.6,0.1778152201663031,711190196,3,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
4,6000,SIVI,0.6,0.17905399441988,711190196,4,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
5,6000,SIVI,0.6,0.16806537402263483,711190196,5,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
6,6000,SIVI,0.6,0.22280428780958858,711190196,6,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
7,6000,SIVI,0.6,0.19443969874808598,711190196,7,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
8,6000,SIVI,0.6,0.2007668660239834,711190196,8,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
9,6000,SIVI,0.6,0.18671737110405834,711190196,9,hmc_chain,seed45_sivi_x_shaped,9.314411021582782,45,x_shaped
0,8000,SIVI,0.8,0.16234963345148032,2000624487,0,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
1,8000,SIVI,0.8,0.17109668887830173,2000624487,1,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
2,8000,SIVI,0.8,0.1749725670060286,2000624487,2,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
3,8000,SIVI,0.8,0.1941627344692654,2000624487,3,hmc_chain,seed45_sivi_x_shaped,8.06172687318176,45,x_shaped
