2026-03-28 21:54:02 | DEBUG | sivi:base_reverse_runner.py:476| save_checkpoint | Saved reverse checkpoints at epoch 1000 to results/AISIVI/Langevin_post/20260328_214950/checkpoints/epoch_1000.
2026-03-28 21:54:02 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1000, VI W2 to baseline: 0.1418
2026-03-28 21:54:02 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1000, Reverse Model W2: 0.0551
2026-03-28 21:54:02 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1000, ELBO: -234.9131, Std Total: 92.0306, Std Q: nan, CI Half: 2.5510
2026-03-28 21:54:02 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1000, VI KSD: 7.4241
2026-03-28 21:54:04 | DEBUG | sivi:base_runner.py:978| learn | Saved trace plot at epoch 1000.
2026-03-28 21:54:18 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1100: Avg Loss: 0.3938, Avg Epoch Time: 0.1599s
2026-03-28 21:54:18 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1100, VI W2 to baseline: 0.1720
2026-03-28 21:54:18 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1100, Reverse Model W2: 0.0599
2026-03-28 21:54:18 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1100, ELBO: -218.6377, Std Total: 75.6622, Std Q: nan, CI Half: 2.0972
2026-03-28 21:54:18 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1100, VI KSD: 6.0273
2026-03-28 21:54:33 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1200: Avg Loss: 5.8367, Avg Epoch Time: 0.1509s
2026-03-28 21:54:33 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1200, VI W2 to baseline: 0.1641
2026-03-28 21:54:33 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1200, Reverse Model W2: 0.0595
2026-03-28 21:54:33 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1200, ELBO: -204.9052, Std Total: 83.1289, Std Q: nan, CI Half: 2.3042
2026-03-28 21:54:33 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1200, VI KSD: 5.6326
2026-03-28 21:54:48 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1300: Avg Loss: 1.0738, Avg Epoch Time: 0.1534s
2026-03-28 21:54:48 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1300, VI W2 to baseline: 0.2017
2026-03-28 21:54:48 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1300, Reverse Model W2: 0.0882
2026-03-28 21:54:48 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 1300, ELBO: -198.8139, Std Total: 77.1293, Std Q: nan, CI Half: 2.1379
2026-03-28 21:54:48 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1300, VI KSD: 6.4071
2026-03-28 21:55:03 | DEBUG | sivi:base_runner.py:874| learn | Epoch 1400: Avg Loss: 7.2095, Avg Epoch Time: 0.1516s
2026-03-28 21:55:03 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 1400, VI W2 to baseline: 0.1965
2026-03-28 21:55:03 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 1400, Reverse Model W2: 0.0842
