epoch,gpu_headroom_gib_mean,gpu_headroom_gib_sd,local_target_l2_mean,local_target_l2_sd,method,method_l2_mean,method_l2_sd,method_n_valid,method_relative_l2_mean,method_relative_l2_sd,method_runtime_sec_mean,method_runtime_sec_sd,method_target_l2_mean,method_target_l2_sd,n_seeds,peak_gpu_reserved_bytes_mean,peak_gpu_reserved_bytes_sd,physical_scale_max_mean,physical_scale_max_sd,physical_scale_median_mean,physical_scale_median_sd,physical_scale_min_mean,physical_scale_min_sd,progress,quadrature_boundary_mass_p95_mean,quadrature_boundary_mass_p95_sd,quadrature_epsilon_dim,quadrature_ess_mean_mean,quadrature_ess_mean_sd,quadrature_max_weight_p95_mean,quadrature_max_weight_p95_sd,quadrature_nodes_per_second_mean,quadrature_nodes_per_second_sd,quadrature_runtime_sec_mean,quadrature_runtime_sec_sd,scaling_runtime_sec_mean,scaling_runtime_sec_sd,target,total_runtime_sec_mean,total_runtime_sec_sd
10000,23.31854248046875,,2.896583027936591,,AISIVI,7.446879917573406,,1,1.043251475305742,,0.0662234928458929,,3.8153099020186674,,1,257949696.0,,0.9134019702627165,,0.2548085416292944,,0.007836300014220468,,1.0,0.16238570326397753,,2,16.53214432630989,,0.21697905752262253,,1393128.3683876912,,0.12422114424407482,,0.010322684422135353,,x_shaped,0.20076732151210308,
2000,23.47088623046875,,102.97650098314608,,DSIVI,101.50174430567267,,1,0.9723845414112798,,0.00030709803104400635,,3.37545847375542,,1,94371840.0,,0.9971634817467309,,0.2303501273683331,,0.003940845647518811,,0.2,0.1809333797439858,,2,12.196640886547085,,0.3386536166952453,,1386660.3092312883,,0.12480057217180729,,0.010408051311969757,,x_shaped,0.13551572151482105,
4000,23.47088623046875,,146.2589124634467,,DSIVI,145.86310161330533,,1,0.9542667738220606,,0.0002392902970314026,,0.5882924594839695,,1,94371840.0,,0.9926979405057407,,0.18056407836073973,,0.004397812212289254,,0.4,0.189877516656599,,2,10.481166632736592,,0.3139994173171153,,1403387.3793690752,,0.1233130656182766,,0.010189557448029518,,x_shaped,0.13374191336333752,
6000,23.47088623046875,,213.42158266700707,,DSIVI,214.68070451510567,,1,0.9609745823571378,,0.0002381298691034317,,0.16539217208068477,,1,94371840.0,,0.9935140962829613,,0.22287289418124578,,0.0043302432232159,,0.6,0.18500221054915494,,2,9.970043891142264,,0.3516346986541683,,1406996.2353905465,,0.12299677543342113,,0.010139448568224907,,x_shaped,0.13337435387074947,
8000,23.47088623046875,,204.45859566484845,,DSIVI,204.95240434088197,,1,0.9525321993484365,,0.00024088285863399506,,0.1616518028842449,,1,94371840.0,,0.9977307333993443,,0.188816104850716,,0.004079106949784987,,0.8,0.19202828069977845,,2,9.215268632490396,,0.3920842458681807,,1399660.803930758,,0.12364138476550579,,0.010219421237707138,,x_shaped,0.13410168886184692,
10000,23.47088623046875,,231.32180343465853,,DSIVI,230.8073685540839,,1,0.9702149768870911,,0.00024112313985824585,,0.07772495818215046,,1,94371840.0,,0.9999039707646213,,0.1698906209651576,,0.004304533885044422,,1.0,0.19713558638960715,,2,8.807113383448858,,0.4452378890991689,,1409114.536003724,,0.12281187623739243,,0.010136671364307404,,x_shaped,0.13318967074155807,
2000,23.42401123046875,,3.526270909003915,,SIVI,0.15421130746715497,,1,0.07485329966203111,,0.1329102236777544,,3.5315431635076266,,1,144703488.0,,0.9885470839039642,,0.3339251785192858,,0.09329978125832962,,0.2,0.14014357980296127,,2,14.97233225070054,,0.21497013958409483,,1089939.4697837522,,0.1587757896631956,,0.12574956007301807,,x_shaped,0.4174355734139681,
4000,23.42401123046875,,0.42364657382378557,,SIVI,0.22461946152027443,,1,0.056958161477348446,,0.001131610944867134,,0.3120225190364593,,1,144703488.0,,0.9991530704656649,,0.3717485007590888,,0.10815822577488189,,0.4,0.1304580799432533,,2,13.558188848657336,,0.2413512192125711,,1355144.8540246084,,0.12770295329391956,,0.013223491609096527,,x_shaped,0.14205805584788322,
6000,23.42401123046875,,0.3151301404489082,,SIVI,0.28935514034688825,,1,0.06085159397568238,,0.0010852143168449402,,0.05399872609717263,,1,144703488.0,,0.9997672244282649,,0.37967805298019663,,0.11187867999662218,,0.6,0.1375770597819037,,2,14.135105774364877,,0.2339142410121484,,1394032.9227485314,,0.124140540137887,,0.010194174945354462,,x_shaped,0.1354199294000864,
8000,23.42401123046875,,0.3129530290423689,,SIVI,0.30462107763201407,,1,0.06814246976874186,,0.0010652635246515274,,0.04291001452218887,,1,144703488.0,,0.9952352482977587,,0.41153537227387627,,0.11250094627909683,,0.8,0.15471918562591866,,2,13.867415542755095,,0.237203511467203,,1396711.7572303556,,0.12390244379639626,,0.010114170610904694,,x_shaped,0.13508187793195248,
