sampler,chain,draw,epsilon_0,epsilon_1
MALA_tail,6,3,0.52319419,0.91935921
MALA_tail,6,4,0.53767174,0.87372553
MALA_tail,6,5,0.52124804,0.92371029
MALA_tail,6,6,0.51323920,0.97515589
MALA_tail,6,7,0.56729931,0.96020883
MALA_tail,6,8,0.56193417,0.89256108
MALA_tail,6,9,0.55544716,0.87559628
MALA_tail,6,10,0.52380025,0.89433950
MALA_tail,6,11,0.49832168,0.91153061
MALA_tail,6,12,0.50032765,0.90345448
MALA_tail,6,13,0.50401485,0.95501202
MALA_tail,6,14,0.56326938,0.95628244
MALA_tail,6,15,0.61862892,1.02171433
MALA_tail,6,16,0.60032296,1.04993236
MALA_tail,6,17,0.59483254,1.06260014
MALA_tail,6,18,0.58761376,1.05047119
MALA_tail,6,19,0.60484046,1.04389477
MALA_tail,6,20,0.62839317,1.07408535
MALA_tail,6,21,0.63459694,1.09938192
MALA_tail,6,22,0.63331068,1.12330949
MALA_tail,6,23,0.66075134,1.09495294
MALA_tail,6,24,0.64296025,1.05793595
MALA_tail,6,25,0.57430047,1.04275060
MALA_tail,6,26,0.64820969,1.03072107
MALA_tail,6,27,0.65057653,1.08319354
MALA_tail,6,28,0.67170376,1.13505328
MALA_tail,6,29,0.65933388,1.27321482
MALA_tail,6,30,0.70183259,1.25784016
MALA_tail,6,31,0.72762865,1.30902362
MALA_tail,6,32,0.73444808,1.32000709
MALA_tail,6,33,0.76495093,1.39343858
MALA_tail,6,34,0.77182871,1.37022817
MALA_tail,6,35,0.76175123,1.42056918
MALA_tail,6,36,0.77383459,1.38695848
MALA_tail,6,37,0.73848844,1.35477304
MALA_tail,6,38,0.77976853,1.38967419
MALA_tail,6,39,0.77377725,1.37306893
MALA_tail,6,40,0.73011017,1.34979844
MALA_tail,6,41,0.75909305,1.32993782
MALA_tail,6,42,0.75643164,1.33076751
MALA_tail,6,43,0.78019357,1.27694643
MALA_tail,6,44,0.80645561,1.27982497
MALA_tail,6,45,0.81898791,1.27884209
MALA_tail,6,46,0.84170640,1.29316497
MALA_tail,6,47,0.80777436,1.29768538
MALA_tail,6,48,0.79999912,1.27933478
MALA_tail,6,49,0.75026017,1.28772664
MALA_tail,7,0,-0.02987776,0.31383941
MALA_tail,7,1,-0.00605155,0.36047721
MALA_tail,7,2,-0.03828935,0.34826833
MALA_tail,7,3,-0.01234121,0.33108723
MALA_tail,7,4,0.00701656,0.28205270
MALA_tail,7,5,0.02932374,0.30679494
MALA_tail,7,6,0.03710366,0.33699226
MALA_tail,7,7,0.06539081,0.34695736
MALA_tail,7,8,0.07045229,0.32432854
MALA_tail,7,9,0.06438302,0.30107242
