2026-03-28 21:34:30 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 500, Average Reverse Model Loss: 5.6721, Avg Step Time: 0.0466s, Avg Steps: 5.0000
2026-03-28 21:34:30 | INFO | sivi:base_reverse_runner.py:434| warmup | Warmup completed for 500 epochs. Total time: 22.751s, Avg epoch time: 0.045502s
2026-03-28 21:34:30 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 10, VI KL to baseline: 2.2981
2026-03-28 21:34:30 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 10, Reverse Model KL ITE: 0.0008
2026-03-28 21:34:30 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 10, VI W2 to baseline: 1.4118
2026-03-28 21:34:31 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 10, Reverse Model W2: 0.0433
2026-03-28 21:34:31 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 10, ELBO: -5.9089, Std Total: 13.9484, Std Q: nan, CI Half: 1.2226
2026-03-28 21:34:31 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 10, VI KSD: 9.2208
2026-03-28 21:34:31 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 20, VI KL to baseline: 1.7652
2026-03-28 21:34:31 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 20, Reverse Model KL ITE: -0.0009
2026-03-28 21:34:31 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 20, VI W2 to baseline: 1.1255
2026-03-28 21:34:31 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 20, Reverse Model W2: 0.0411
2026-03-28 21:34:31 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 20, ELBO: -3.9262, Std Total: 12.7983, Std Q: nan, CI Half: 1.1218
2026-03-28 21:34:31 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 20, VI KSD: 4.9625
2026-03-28 21:34:32 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 30, VI KL to baseline: 2.1883
2026-03-28 21:34:32 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 30, Reverse Model KL ITE: 0.0005
2026-03-28 21:34:32 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 30, VI W2 to baseline: 0.9497
2026-03-28 21:34:32 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 30, Reverse Model W2: 0.0500
2026-03-28 21:34:32 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 30, ELBO: -5.3015, Std Total: 12.2491, Std Q: nan, CI Half: 1.0737
2026-03-28 21:34:32 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 30, VI KSD: 4.5072
2026-03-28 21:34:33 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 40, VI KL to baseline: 2.3419
2026-03-28 21:34:33 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 40, Reverse Model KL ITE: 0.0014
2026-03-28 21:34:33 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 40, VI W2 to baseline: 0.8382
2026-03-28 21:34:33 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 40, Reverse Model W2: 0.0563
2026-03-28 21:34:33 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 40, ELBO: -6.5980, Std Total: 12.7122, Std Q: nan, CI Half: 1.1143
2026-03-28 21:34:33 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 40, VI KSD: 6.2859
2026-03-28 21:34:33 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 50, VI KL to baseline: 2.2819
2026-03-28 21:34:33 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 50, Reverse Model KL ITE: 0.0028
2026-03-28 21:34:33 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 50, VI W2 to baseline: 0.8572
2026-03-28 21:34:33 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 50, Reverse Model W2: 0.0516
2026-03-28 21:34:33 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 50, ELBO: -5.4223, Std Total: 13.7894, Std Q: nan, CI Half: 1.2087
2026-03-28 21:34:33 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 50, VI KSD: 7.4917
2026-03-28 21:34:34 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 60, VI KL to baseline: 2.3133
